Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Admiral Ackbar (D)	TFA	TFA001_Admiral_Ackbar_D	L	Character	Mon Calamari Resistance Officer	7.0	20.0	2	5.0	R	1.0		Each of your Resistance Space units gets +1 power and Critical Hit 1. | Tap -> Choose one of your Resistance Space units. The chosen unit gets Critical Hit 3 when attacking a Fortification until end of turn.		RES	
Admiral Statura (A)	TFA	TFA002_Admiral_Statura_A	L	Character	Resistance Officer	7.0	40.0	4	4.0	R	2.0		Each of your Resistance Space units gets Accuracy 1. | Tap, Tap one of your Resistance units in the Space arena -> Put 3 damage counters on one of your opponent's Fortifications or Stations.		RES	
BB-8 (A)	TFA	TFA003_BB_8_A	L	Character	Resistance Astromech Droid	4.0	30.0	0	3.0	R	3.0		Alternative Cost: Tap Poe Dameron or Rey. | As long as you have Poe Dameron or Rey in the Character arena, BB-8 can't be attacked. | Your opponent can't look at your hand, your deck, or partially built cards in your build zone.		RES	
Black Squadron (A)	TFA	TFA004_Black_Squadron_A	L	Space/Ground	Resistance Squadron	8.0	40.0	6	6.0	R	4.0		Switch: +10 speed/Critical Hit 2 | As long as you have Poe Dameron in any arena, Black Squadron gets Accuracy 1. | Pay 3 Force -> Black Squadron gets Double Strike for this attack.		RES	
Black Squadron (B)	TFA	TFA005_Black_Squadron_B	L	Space/Ground	Resistance Squadron	7.0	40.0	2	6.0	R	5.0		"Switch: Shields 1/Fury 2 | Black Squadron gets +1 power for each Resistance Starfighter you have in any arena. | Pay 3 Force -> Choose one: Black Squadron gets Accuracy 2 for this attack. Or: Take 1 50/2/3 T-70 X-Wing Starfighter Subordinate with ""Switch: +1 power/Accuracy 1"" and put it into the Space or Ground arena. Play only during your build step."	<s><l>Pay 3 Force to spawn T-70 X-wing Starfighter</l><f>/spawn T-70 X-wing Starfighter;/player stat1 -3;/s pays 3 Force to spawn a T-70 X-wing Starfighter subordinate using Black Squadron (B)</f></s>	RES	
Blue Squadron (A)	TFA	TFA006_Blue_Squadron_A	L	Space	Resistance Squadron	7.0	30.0	4	5.0	R	6.0		Alternative Cost: Tap 4 of your Resistance Starfighters in any arena. | Stack: Blue Three | Double Strike		RES	
Blue Three (A)	TFA	TFA007_Blue_Three_A	L	Space	Resistance Starfighter	6.0	60.0	3	3.0	R	7.0		Accuracy 1 | Double Damage | Lucky 1 | As long as Blue Three is piloted by Jessika Pava, it gets Accuracy 1.		RES	
Captain Phasma (A)	TFA	TFA008_Captain_Phasma_A	D	Character	First Order Stormtrooper Officer	6.0	50.0	6	5.0	R	8.0		Armor | Each of your other First Order Stormtroopers gets +10 speed. | Phasma's Division gets +1 power and Accuracy 1.		RES	
Captain Phasma (B)	TFA	TFA009_Captain_Phasma_B	D	Ground/Character	First Order Stormtrooper Officer	10.0	50.0	6	6.0	R	9.0		Switch: Inspiration/+1 power | Armor | Each of your other First Order Stormtroopers in the Ground arena gets +1 power.		RES	
Chancellor Lenever Villecham (A)	TFA	TFA010_Chancellor_Lanever_Villecham_A	L	Character	Tarsunt New Republic Councilor - Diplomat	6.0	20.0	3	4.0	R	10.0		Tap, Pay 3 Force -> Disrupt an attack. | Tap, Pay 3 Force -> Disrupt a Battle Card.		RES	
